x1,x2,x3,w1,w2,w3,m1,m2,m3,y1,y2,y3,y4,y5,y6,y7,y8,y9,SAL,sprom1,sprom2,sprom3,perfev,leader
5,5,6,3,5,5,6,5,5,3,4,3,3,3,3,4,4,3,0,6,4,5,2,103
2,3,2,6,4,6,3,3,2,6,6,6,6,6,6,5,6,5,0,6,3,4,2,104
2,2,2,6,6,6,2,2,2,7,7,7,7,7,7,7,7,4,0,6,2,6,3,105
3,2,1,7,7,7,2,2,2,7,7,7,7,7,7,7,7,6,0,7,3,7,2,105
2,1,2,7,7,7,2,2,2,6,6,6,6,6,5,5,6,6,12.7,7,3,7,2,106
5,2,2,7,5,7,2,2,2,6,6,6,6,6,5,6,6,4,0,4,2,4,2,107
1,1,1,6,7,7,5,6,5,4,4,3,4,2,2,2,3,4,0,4,1,2,2,108
2,2,2,6,6,7,4,5,2,7,7,7,6,7,7,5,6,4,0,6,4,6,2,108
1,1,5,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,0,6,3,5,2,109
5,5,5,7,7,7,2,2,2,6,6,6,6,6,6,6,6,2,0,7,5,6,2,109
2,2,2,6,6,7,5,5,2,6,6,6,7,7,6,7,7,6,0,7,6,7,2,110
1,1,1,1,3,5,6,7,5,3,4,4,4,5,5,4,4,4,2.93,6,1,5,2,111
1,1,1,7,7,7,2,2,2,5,6,6,6,5,5,5,6,5,0,4,1,2,2,113
1,1,1,6,6,6,1,1,1,7,7,7,7,7,7,7,5,2,0,2,3,6,2,114
5,5,6,6,6,6,6,6,5,6,6,4,6,6,4,6,6,6,0,6,2,5,2,115
4,5,4,7,6,7,2,2,2,6,4,6,6,6,6,5,6,2,0,6,2,2,2,116
5,5,5,6,6,6,4,4,4,7,7,6,7,7,7,6,7,5,7.33,7,2,7,2,117
2,2,4,4,6,6,5,5,4,5,5,5,5,6,5,6,5,3,0,6,6,6,2,119
5,5,4,5,5,4,7,7,7,6,6,6,6,6,6,6,6,6,0,6,6,6,2,119
5,3,3,7,7,7,2,2,2,5,5,5,6,5,6,6,5,4,0,6,5,5,2,119
1,1,1,6,2,6,2,2,5,4,5,4,5,4,4,5,6,4,0,6,2,4,2,120
2,2,2,6,6,6,2,2,2,7,6,6,6,6,5,6,6,5,0,7,5,6,2,121
2,6,6,3,2,2,6,6,4,5,5,6,5,4,3,3,5,4,0,6,2,2,2,124
2,2,3,7,5,6,4,5,2,6,6,6,7,7,6,7,6,6,0,7,4,7,3,129
2,2,2,7,7,7,4,4,2,6,6,6,6,6,6,6,6,5,0,6,4,6,2,130
5,4,5,2,3,2,6,6,5,4,3,3,4,5,3,3,3,3,0,5,3,4,2,132
6,6,6,1,1,1,7,7,7,4,2,3,6,4,4,6,6,6,0,7,7,7,2,133
1,1,2,6,6,6,2,2,2,7,7,7,6,6,6,6,7,4,0,7,6,6,2,136
3,2,2,6,6,5,4,3,3,6,6,4,5,5,5,6,5,4,0,4,2,6,2,137
2,2,2,6,6,6,2,2,2,6,6,4,6,6,6,6,6,3,0,6,2,5,2,138
5,5,5,6,6,6,4,5,2,7,7,6,7,6,6,5,6,2,12.45,7,7,7,3,139
3,4,5,6,7,6,5,5,5,6,6,6,5,6,5,4,6,5,0,7,1,6,2,140
6,3,2,6,6,6,1,5,3,6,5,4,6,6,5,5,5,4,0,6,2,6,2,142
6,6,6,1,2,2,5,5,5,3,4,4,6,6,5,7,7,7,0,4,1,4,2,143
1,1,1,6,6,6,1,1,1,7,7,7,7,7,7,7,5,2,0,2,3,6,2,143
2,2,2,6,6,7,4,5,2,7,7,7,6,7,7,5,6,4,0,6,4,6,2,144
5,5,5,5,5,6,2,2,2,7,7,7,7,7,7,7,7,7,7.81,5,1,3,3,145
6,2,7,2,2,2,7,7,7,7,6,6,6,6,5,6,5,4,2.83,6,3,5,2,146
2,2,2,2,2,2,2,2,2,7,7,7,7,7,7,7,7,5,10.74,7,5,7,2,147
5,5,5,1,4,3,7,7,7,6,6,4,5,4,4,4,4,4,0,4,4,5,2,148
3,3,4,7,6,6,5,4,5,6,5,5,4,4,4,6,6,4,0,6,6,7,2,150
2,2,2,7,7,7,2,2,2,7,7,7,7,7,7,6,6,7,5.86,7,3,6,2,153
1,1,1,6,6,4,7,6,4,6,6,6,6,6,5,5,6,4,0,6,4,4,2,156
5,5,5,6,6,6,7,7,4,6,6,6,5,5,2,5,5,3,5.57,5,2,5,2,156
2,2,2,7,7,7,2,2,2,6,6,6,6,6,5,5,4,4,0,6,4,5,3,158
7,7,7,7,7,7,2,3,2,5,5,3,5,5,3,3,4,3,0,6,1,2,2,159
2,2,2,5,6,4,3,3,2,6,6,6,6,6,6,5,6,5,0,6,2,5,2,160
6,6,4,6,6,6,4,4,3,6,7,7,7,6,6,7,7,7,0,6,6,7,2,161
5,3,4,6,6,7,3,5,4,6,6,6,6,6,6,6,6,4,2.93,7,5,7,2,163
2,2,2,5,5,5,5,5,5,6,6,4,6,7,6,4,7,4,0,7,2,7,2,164
2,2,2,6,6,6,2,2,2,7,6,6,6,6,5,6,6,5,0,7,5,6,2,165
2,2,2,7,6,7,1,1,2,6,7,6,7,7,7,5,6,2,0,7,7,7,2,165
7,7,7,6,6,6,1,1,1,6,6,6,6,6,6,7,6,4,0,6,2,5,3,166
2,2,2,6,6,6,2,2,2,7,7,7,7,7,7,7,7,4,0,6,2,6,3,168
5,5,6,6,6,6,2,3,2,6,6,6,6,6,6,6,5,5,0,5,1,2,2,168
1,2,2,6,5,5,5,5,3,6,6,5,4,6,4,5,5,4,0,6,1,6,2,170
2,2,2,3,5,4,3,3,1,5,4,4,5,5,4,4,4,5,0,6,6,7,2,171
1,1,5,3,5,5,5,5,5,6,6,6,6,6,6,6,6,6,0,6,3,5,2,172
2,5,5,5,6,6,5,5,3,4,5,6,6,5,4,6,6,4,0,6,2,6,3,172
2,2,3,7,5,6,4,5,2,6,6,6,7,7,6,7,6,6,0,7,4,7,3,175
7,7,7,7,7,7,1,1,1,6,6,6,6,6,5,6,6,5,0,7,2,6,2,176
5,4,5,5,5,5,4,5,4,6,6,5,5,4,4,4,5,4,0,6,2,5,2,177
2,2,2,6,6,6,4,3,4,5,6,5,6,7,5,6,7,6,0,6,2,5,2,178
2,2,1,7,7,7,4,6,2,7,6,6,6,6,4,6,6,2,0,6,4,6,3,179
2,2,2,6,6,6,2,2,2,4,5,5,5,6,6,5,6,4,0,7,1,2,2,180
6,6,5,6,6,6,1,1,1,5,5,4,4,5,5,5,5,2,0,6,3,5,2,181
2,2,2,6,6,6,2,1,2,7,7,6,7,7,7,7,7,6,18.5,7,2,7,2,182
5,5,4,6,5,5,6,5,5,5,5,5,5,5,5,5,5,4,0,5,5,5,2,183
2,3,2,6,4,6,3,3,2,6,6,6,6,6,6,5,6,5,0,6,3,4,2,184
5,6,6,1,1,1,7,7,7,5,5,5,5,5,4,6,3,4,0,6,2,5,2,186
1,3,1,6,6,7,1,2,1,7,7,6,6,6,6,6,6,4,0,6,4,4,2,189
7,7,7,2,2,2,6,6,7,7,7,6,7,7,7,7,7,2,0,7,3,7,2,190
6,6,6,1,1,2,7,7,7,4,4,4,5,5,4,3,3,3,0,5,2,4,2,198
3,4,5,6,7,6,5,5,5,6,6,6,5,6,5,4,6,5,0,7,1,6,2,201
3,4,5,7,7,7,4,3,5,4,5,4,5,5,4,3,4,4,0,6,5,5,2,204
1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,0,6,6,6,2,204
2,2,4,6,6,6,3,4,4,7,7,7,7,7,6,6,6,4,0,7,5,6,2,205
7,7,7,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,0,2,1,2,1,205
2,2,3,6,6,7,1,2,1,5,5,3,6,6,5,6,6,3,0,5,1,3,3,207
2,2,2,6,4,6,2,2,2,3,3,5,6,6,6,5,5,3,0,6,2,4,3,208
4,4,5,6,7,6,5,5,5,6,5,4,5,6,4,4,4,3,3.91,6,4,5,2,208
2,2,2,6,6,6,3,4,4,6,6,6,6,7,7,4,6,2,0,7,4,7,3,209
1,1,1,7,7,7,2,2,1,6,6,6,5,5,5,6,5,5,12.59,7,2,4,2,210
2,2,5,6,6,6,2,2,2,5,6,5,5,6,5,5,5,2,0,6,3,5,2,210
